dot	200	n	dowry
down	100	r,a,v,n	lower
down	600	n	insulation
down	700	n	hill
drab	100	a,n	dull
drab	200	n	prostitute
drake	100	n	duck
drake	200	n	mayfly
dredge	100	v,n	unearth
dredge	200	v	sprinkle
drill	100	n,v	tool
drill	200	n,v	machine
drill	500	n	baboon
drill	600	n	fabric
duck	100	n	bird
duck	200	v,n	avoid
duck	300	n	dear
duck	400	n	fabric
duck	500	n	nought
dun	100	a,n	color
dun	200	v,n	demand
dun	500	n	settlement
ear	100	n	organ
ear	200	n	head
earnest	100	a	diligent
earnest	200	n	promise
egg	100	n	embryo
egg	200	v	encourage
eke	100	v	lengthen
eke	200	r	also
elder	100	a,n	older
elder	200	n	tree
entrance	100	n	opening
entrance	200	v	captivate
even	100	a,v,r	equal
even	400	n	evening
excise	100	n,v	tax
excise	200	v	remove
fag	100	n,v	task
fag	200	n	homosexual
fag	300	n	cigarette
fair	100	a,r,n,v	equal
fair	500	n	gathering
fair	600	v	beautify
fallow	100	a,n,v	ploughed
fallow	400	n	color
fan	100	n,v	device
fan	200	n	admirer
fast	100	a,r	quick
fast	200	v,n	abstain
fawn	100	n,v	deer
fawn	200	v	affection
feint	100	n,v	pretense
feint	200	a	faded
fell	100	v	descend
fell	200	v,n	drop
fell	300	n	hill
fell	400	a	evil
fell	500	n	skin
file	000	n	powder
file	100	n,v	collection
file	200	n,v	row
file	300	n,v	tool
fine	100	a,n,r,v	high-grade
fine	200	n,v	penalty
fine	700	n	alcohol
fine	800	n	end
firm	100	a,v,r	solid
firm	400	n	business
fish	100	n,v	animal
fish	200	n,v	plate
fit	100	a,v,n	suitable
fit	200	n,v	seizure
fit	600	n	poetry
flag	100	n,v	cloth
flag	200	n	stone
flag	300	n	iris
flag	400	v	tire
flat	100	a,r,n,v	even
flat	200	n,v	residence
flaw	100	n,v	blemish
flaw	200	n	wind
fleet	100	n	group
fleet	200	a	quick
fleet	300	n	creek
fleet	400	v	pass
fleet	500	a,r	shallow
flex	100	v	bend
flex	200	n	cable
flip	100	v,n,a	turn
flip	500	n	beer
flock	100	n,v	group
flock	200	n	material
flounce	100	v,n	exaggerate
flounce	200	n,v	material
flounder	100	v	struggle
flounder	200	n	flatfish
fluke	100	n,v	accident
fluke	200	n	animal
fluke	300	n	plate
flush	100	v,n	glow
flush	200	a,v,r	smooth
flush	600	n	cards
flush	700	n	ground
fly	100	v,n	movement
fly	200	n	insect
fly	300	a	fashionable
fob	100	n	chain
fob	200	v	deceive
fob	401	n	immigrant
fog	100	n,v	cloud
fog	200	n	grass
foil	100	v,n	prevent
foil	200	n	metal
foil	300	n	sword
foil	400	n	speedboat
fold	100	v,n	bend
fold	200	n,v	enclosure
font	100	n	fountain
font	200	n	typeface
fool	100	n,v,a	clown
fool	400	n	dessert
forbear	100	v	restrain
forbear	200	n	ancestor
forearm	100	n	appendage
forearm	200	v	prepare
forge	100	v,n	construct
forge	200	v	move
former	100	a	previously
former	200	n	one that forms
forte	100	n	strength
forte	200	r,a,n	loud
found	100	v,a	discovered
found	200	v	establish
found	300	v	fuse
founder	100	n	manufacturer
founder	200	n	originator
founder	300	v,n	collapse
